"Купи еду, продай еду! ","Менеджмент, казуальная",,,Разработчик,"Игроку предлагается сделка: обменять один тоар на другой в некотром количестве. Игрок может соглашаться или отказываться. Таким образом накапливая ресурсы, за которые игрок открывает новые локации ","Сначала я делал эту игру чтобы попробовать разные MVx паттерны на одном проекте. Потом, спустя пару лет, доделывал ее под яндекс. Потом делал рескин с брейнротами",,Яндекс-игры,,2д,3,Инди,,,,,,,,
City-tetris,"Менеджмент, казуальная, градостроительный симулятор",,,Разработчик,"Быстрый градостроительный симулятор, где нужно ставить блоки зданий как придется","Мой первый проект, который был не копиркой с ютуба и не поделкой для тренировки элемента движка","Unity,C#",Google Play,Тетрис,3д,2,Инди,,,,,,,,
Reality Shift,"Аркада, Головоломка",,,"Разработчик, Геймдизайнер, Дизайнер уровней","Игра про катание шара. Где в начале каждого уровня игроку добавляется некоторе неудобство, например меняется форма шара, камера привязывается и вращается вместе сним или становится оротогональной","Хотел детально изучить физические возможности движка. Каждый уровень былпроверкой какого-нибудь яления, например джоинтов","Unity,C#",Нигде не выходила,,3д,2,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,
Водил кампании по D&D,"Настольная, Ролевая",,,Геймдизайнер,,,,Настолка,,Настолка,1,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,
Продолжение дипломатии иными средствами ,"Стратегия, Настольная",,,Геймдизайнер,Пошаговая настолка про захват точек,"Понял, что «Эпоха раздора» большая и с проблемами. Поэтому сильно ее порезал, создав принципиально новую игру",,Настолка,,Настолка,2,Инди,,,,,,,,
Эпоха раздора,"Стратегия, Настольная",,,Геймдизайнер,"Бльшая настолка, похожая на цивилизацию","Хотел заработать какие-нибудь деньги, будучи школьником",,Настолка,,Настолка,3,Инди,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
Моя карточная игра,"Стратегия, Настольная, Карточная",,,Геймдизайнер,"Похожа на Hearthstone или Берсерк (о которых я тогда не подозревал), но со стандартной колодой на 54 карты, на 3-6 игроков",Просто сделал сам для себя для развлечения. Играли с приятелями иногда,,Настолка,,Настолка,2,Инди,,,,,,,,
